,group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
0,By Month,2020,1,4,Alabama,Total - All Places of Death,All Ages,5,35,282,0.0,318,4729
1,By Month,2020,1,4,Alabama,Total - All Places of Death,0-17 years,0,5,5,0.0,5,71
2,By Month,2020,1,4,Alabama,Total - All Places of Death,18-29 years,0,0,0,0.0,0,72
3,By Month,2020,1,4,Alabama,Total - All Places of Death,30-39 years,0,5,5,0.0,5,103
4,By Month,2020,1,4,Alabama,Total - All Places of Death,40-49 years,0,5,10,0.0,13,199
5,By Month,2020,1,4,Alabama,Total - All Places of Death,50-64 years,5,13,51,0.0,65,895
6,By Month,2020,1,4,Alabama,Total - All Places of Death,65-74 years,0,11,64,0.0,75,1034
7,By Month,2020,1,4,Alabama,Total - All Places of Death,75-84 years,0,5,86,0.0,91,1178
8,By Month,2020,1,4,Alabama,Total - All Places of Death,85 years and over,0,5,64,0.0,65,1177
9,By Month,2020,2,4,Alabama,Total - All Places of Death,All Ages,5,39,276,0.0,316,4627
10,By Month,2020,2,4,Alabama,Total - All Places of Death,0-17 years,0,5,0,0.0,5,60
11,By Month,2020,2,4,Alabama,Total - All Places of Death,18-29 years,0,5,5,0.0,5,77
12,By Month,2020,2,4,Alabama,Total - All Places of Death,30-39 years,0,5,5,0.0,5,128
13,By Month,2020,2,4,Alabama,Total - All Places of Death,40-49 years,0,5,5,0.0,5,195
14,By Month,2020,2,4,Alabama,Total - All Places of Death,50-64 years,0,15,68,0.0,83,926
15,By Month,2020,2,4,Alabama,Total - All Places of Death,65-74 years,0,12,60,0.0,72,968
16,By Month,2020,2,4,Alabama,Total - All Places of Death,75-84 years,0,5,76,0.0,79,1159
17,By Month,2020,2,4,Alabama,Total - All Places of Death,85 years and over,5,5,61,0.0,63,1114
18,By Month,2020,3,4,Alabama,Total - All Places of Death,All Ages,48,33,287,10.0,357,4756
19,By Month,2020,3,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0.0,5,48
20,By Month,2020,3,4,Alabama,Total - All Places of Death,18-29 years,0,5,5,0.0,5,88
21,By Month,2020,3,4,Alabama,Total - All Places of Death,30-39 years,5,5,5,0.0,5,148
22,By Month,2020,3,4,Alabama,Total - All Places of Death,40-49 years,5,5,13,5.0,18,213
23,By Month,2020,3,4,Alabama,Total - All Places of Death,50-64 years,12,11,59,5.0,79,892
24,By Month,2020,3,4,Alabama,Total - All Places of Death,65-74 years,14,5,62,5.0,81,1051
25,By Month,2020,3,4,Alabama,Total - All Places of Death,75-84 years,5,5,87,5.0,98,1165
26,By Month,2020,3,4,Alabama,Total - All Places of Death,85 years and over,10,5,58,5.0,70,1151
27,By Month,2020,4,4,Alabama,Total - All Places of Death,All Ages,339,10,352,97.0,603,4877
28,By Month,2020,4,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0.0,5,59
29,By Month,2020,4,4,Alabama,Total - All Places of Death,18-29 years,0,0,0,0.0,0,99
30,By Month,2020,4,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5.0,5,120
31,By Month,2020,4,4,Alabama,Total - All Places of Death,40-49 years,5,0,5,0.0,12,237
32,By Month,2020,4,4,Alabama,Total - All Places of Death,50-64 years,71,5,60,14.0,120,906
33,By Month,2020,4,4,Alabama,Total - All Places of Death,65-74 years,87,5,81,29.0,144,1061
34,By Month,2020,4,4,Alabama,Total - All Places of Death,75-84 years,92,5,113,31.0,175,1224
35,By Month,2020,4,4,Alabama,Total - All Places of Death,85 years and over,80,0,83,21.0,142,1171
36,By Month,2020,5,4,Alabama,Total - All Places of Death,All Ages,430,5,399,132.0,699,5108
37,By Month,2020,5,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0.0,5,72
38,By Month,2020,5,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,113
39,By Month,2020,5,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5.0,11,176
40,By Month,2020,5,4,Alabama,Total - All Places of Death,40-49 years,16,0,11,5.0,24,234
41,By Month,2020,5,4,Alabama,Total - All Places of Death,50-64 years,67,0,80,17.0,130,978
42,By Month,2020,5,4,Alabama,Total - All Places of Death,65-74 years,100,5,99,30.0,169,1083
43,By Month,2020,5,4,Alabama,Total - All Places of Death,75-84 years,109,5,102,39.0,173,1243
44,By Month,2020,5,4,Alabama,Total - All Places of Death,85 years and over,129,5,98,41.0,187,1209
45,By Month,2020,6,4,Alabama,Total - All Places of Death,All Ages,399,5,350,130.0,620,4901
46,By Month,2020,6,4,Alabama,Total - All Places of Death,0-17 years,5,0,0,0.0,5,57
47,By Month,2020,6,4,Alabama,Total - All Places of Death,18-29 years,0,0,5,0.0,5,102
48,By Month,2020,6,4,Alabama,Total - All Places of Death,30-39 years,10,0,5,5.0,13,154
49,By Month,2020,6,4,Alabama,Total - All Places of Death,40-49 years,18,0,13,5.0,28,243
50,By Month,2020,6,4,Alabama,Total - All Places of Death,50-64 years,79,0,66,27.0,118,954
51,By Month,2020,6,4,Alabama,Total - All Places of Death,65-74 years,108,5,87,35.0,161,1040
52,By Month,2020,6,4,Alabama,Total - All Places of Death,75-84 years,105,0,101,34.0,172,1218
53,By Month,2020,6,4,Alabama,Total - All Places of Death,85 years and over,78,0,72,25.0,125,1133
54,By Month,2020,7,4,Alabama,Total - All Places of Death,All Ages,879,5,522,279.0,1124,5717
55,By Month,2020,7,4,Alabama,Total - All Places of Death,0-17 years,0,0,0,0.0,0,53
56,By Month,2020,7,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,105
57,By Month,2020,7,4,Alabama,Total - All Places of Death,30-39 years,15,0,5,5.0,18,161
58,By Month,2020,7,4,Alabama,Total - All Places of Death,40-49 years,27,0,13,5.0,32,245
59,By Month,2020,7,4,Alabama,Total - All Places of Death,50-64 years,157,5,102,51.0,209,1115
60,By Month,2020,7,4,Alabama,Total - All Places of Death,65-74 years,211,0,140,73.0,278,1265
61,By Month,2020,7,4,Alabama,Total - All Places of Death,75-84 years,227,5,127,68.0,287,1438
62,By Month,2020,7,4,Alabama,Total - All Places of Death,85 years and over,238,5,126,72.0,292,1335
63,By Month,2020,8,4,Alabama,Total - All Places of Death,All Ages,964,5,572,334.0,1203,5765
64,By Month,2020,8,4,Alabama,Total - All Places of Death,0-17 years,0,0,0,0.0,0,63
65,By Month,2020,8,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,115
66,By Month,2020,8,4,Alabama,Total - All Places of Death,30-39 years,11,0,18,5.0,24,170
67,By Month,2020,8,4,Alabama,Total - All Places of Death,40-49 years,39,0,20,13.0,46,275
68,By Month,2020,8,4,Alabama,Total - All Places of Death,50-64 years,174,0,97,56.0,215,1070
69,By Month,2020,8,4,Alabama,Total - All Places of Death,65-74 years,233,5,143,79.0,298,1230
70,By Month,2020,8,4,Alabama,Total - All Places of Death,75-84 years,255,0,156,101.0,310,1485
71,By Month,2020,8,4,Alabama,Total - All Places of Death,85 years and over,247,0,136,78.0,305,1357
72,By Month,2020,9,4,Alabama,Total - All Places of Death,All Ages,568,0,426,193.0,801,5110
73,By Month,2020,9,4,Alabama,Total - All Places of Death,0-17 years,5,0,5,5.0,5,51
74,By Month,2020,9,4,Alabama,Total - All Places of Death,18-29 years,5,0,0,0.0,5,88
75,By Month,2020,9,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5.0,10,138
76,By Month,2020,9,4,Alabama,Total - All Places of Death,40-49 years,16,0,16,5.0,25,228
77,By Month,2020,9,4,Alabama,Total - All Places of Death,50-64 years,85,0,69,21.0,133,947
78,By Month,2020,9,4,Alabama,Total - All Places of Death,65-74 years,138,0,118,58.0,198,1148
79,By Month,2020,9,4,Alabama,Total - All Places of Death,75-84 years,178,0,128,62.0,244,1273
80,By Month,2020,9,4,Alabama,Total - All Places of Death,85 years and over,139,0,88,42.0,185,1237
81,By Month,2020,10,4,Alabama,Total - All Places of Death,All Ages,560,5,437,189.0,810,5199
82,By Month,2020,10,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0.0,5,64
83,By Month,2020,10,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,0.0,5,111
84,By Month,2020,10,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,0.0,5,133
85,By Month,2020,10,4,Alabama,Total - All Places of Death,40-49 years,18,0,14,5.0,27,230
86,By Month,2020,10,4,Alabama,Total - All Places of Death,50-64 years,95,0,65,31.0,129,940
87,By Month,2020,10,4,Alabama,Total - All Places of Death,65-74 years,150,0,125,53.0,222,1173
88,By Month,2020,10,4,Alabama,Total - All Places of Death,75-84 years,171,5,135,63.0,244,1330
89,By Month,2020,10,4,Alabama,Total - All Places of Death,85 years and over,118,5,92,37.0,174,1218
90,By Month,2020,11,4,Alabama,Total - All Places of Death,All Ages,768,5,456,232.0,993,5548
91,By Month,2020,11,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0.0,5,46
92,By Month,2020,11,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,107
93,By Month,2020,11,4,Alabama,Total - All Places of Death,30-39 years,5,5,5,0.0,15,158
94,By Month,2020,11,4,Alabama,Total - All Places of Death,40-49 years,20,0,14,5.0,28,234
95,By Month,2020,11,4,Alabama,Total - All Places of Death,50-64 years,129,5,86,45.0,171,998
96,By Month,2020,11,4,Alabama,Total - All Places of Death,65-74 years,197,0,106,52.0,251,1270
97,By Month,2020,11,4,Alabama,Total - All Places of Death,75-84 years,228,5,128,75.0,281,1411
98,By Month,2020,11,4,Alabama,Total - All Places of Death,85 years and over,186,0,107,53.0,240,1324
99,By Month,2020,12,4,Alabama,Total - All Places of Death,All Ages,1749,5,854,581.0,2026,7025
